Date,España,Italia,Turquia
2021-03-30 00:00:00+00:00,3275819.0,3561012.0,3277880
2021-03-31 00:00:00+00:00,3284353.0,3584899.0,3317182
2021-04-01 00:00:00+00:00,3291394.0,3607083.0,3357988
2021-04-02 00:00:00+00:00,3291394.0,3629000.0,3400296
2021-04-03 00:00:00+00:00,3300965.0,3650247.0,3445052
2021-04-04 00:00:00+00:00,3300965.0,3668264.0,3487050
2021-04-05 00:00:00+00:00,3311325.0,3678944.0,3529601
2021-04-06 00:00:00+00:00,3317948.0,3686707.0,3579185
2021-04-07 00:00:00+00:00,3326736.0,3700393.0,3633925
2021-04-08 00:00:00+00:00,3336637.0,3717602.0,3689866
2021-04-09 00:00:00+00:00,3347512.0,3736526.0,3745657
2021-04-10 00:00:00+00:00,3347512.0,3754077.0,3798333
2021-04-11 00:00:00+00:00,3347512.0,3769814.0,3849011
2021-04-12 00:00:00+00:00,3370256.0,3779594.0,3903573
2021-04-13 00:00:00+00:00,3376548.0,3793033.0,3962760
2021-04-14 00:00:00+00:00,3387022.0,3809193.0,4025557
2021-04-15 00:00:00+00:00,3396685.0,3826156.0,4086957
2021-04-16 00:00:00+00:00,3407283.0,3842079.0,4150039
2021-04-17 00:00:00+00:00,3407283.0,3857443.0,4212645
2021-04-18 00:00:00+00:00,3407283.0,3870131.0,4268447
